Index,Source,ID,Title,Authors,Year,Journal,Abstract,DOI,Keywords,Link
1,arXiv,2507.11972v1,Graph Representations for Reading Comprehension Analysis using Large   Language Model and Eye-Tracking Biomarker,"Yuhong Zhang, Jialu Li, Shilai Yang et al.",2025,"arXiv: cs.CL, q-bio.NC","Reading comprehension is a fundamental skill in human cognitive development. With the advancement of Large Language Models (LLMs), there is a growing need to compare how humans and LLMs understand language across different contexts and apply this understanding to functional tasks such as inference, emotion interpretation, and information retrieval. Our previous work used LLMs and human biomarkers to study the reading comprehension process. The results showed that the biomarkers corresponding to ...",,cs.CL; q-bio.NC,https://arxiv.org/abs/2507.11972v1
2,arXiv,2110.03529v1,Using Single-Trial Representational Similarity Analysis with EEG to   track semantic similarity in emotional word processing,Feng Cheng,2021,"arXiv: q-bio.NC, cs.CL",Electroencephalography (EEG) is a powerful non-invasive brain imaging technique with a high temporal resolution that has seen extensive use across multiple areas of cognitive science research. This thesis adapts representational similarity analysis (RSA) to single-trial EEG datasets and introduces its principles to EEG researchers unfamiliar with multivariate analyses. We have two separate aims: 1. we want to explore the effectiveness of single-trial RSA on EEG datasets; 2. we want to utilize si...,,q-bio.NC; cs.CL,https://arxiv.org/abs/2110.03529v1
3,arXiv,2508.20109v1,A Unified Theory of Language,Robert Worden,2025,"arXiv: q-bio.NC, cs.CL, J.3","A unified theory of language combines a Bayesian cognitive linguistic model of language processing, with the proposal that language evolved by sexual selection for the display of intelligence. The theory accounts for the major facts of language, including its speed and expressivity, and data on language diversity, pragmatics, syntax and semantics. The computational element of the theory is based on Construction Grammars. These give an account of the syntax and semantics of the worlds languages, ...",,q-bio.NC; cs.CL; J.3,https://arxiv.org/abs/2508.20109v1
4,arXiv,1802.01830v1,A Neurobiologically Motivated Analysis of Distributional Semantic Models,Akira Utsumi,2018,"arXiv: cs.CL, q-bio.NC","The pervasive use of distributional semantic models or word embeddings in a variety of research fields is due to their remarkable ability to represent the meanings of words for both practical application and cognitive modeling. However, little has been known about what kind of information is encoded in text-based word vectors. This lack of understanding is particularly problematic when word vectors are regarded as a model of semantic representation for abstract concepts. This paper attempts to r...",,cs.CL; q-bio.NC,https://arxiv.org/abs/1802.01830v1
5,arXiv,2407.10376v1,Large Language Model-based FMRI Encoding of Language Functions for   Subjects with Neurocognitive Disorder,"Yuejiao Wang, Xianmin Gong, Lingwei Meng et al.",2024,"arXiv: q-bio.NC, cs.CL","Functional magnetic resonance imaging (fMRI) is essential for developing encoding models that identify functional changes in language-related brain areas of individuals with Neurocognitive Disorders (NCD). While large language model (LLM)-based fMRI encoding has shown promise, existing studies predominantly focus on healthy, young adults, overlooking older NCD populations and cognitive level correlations. This paper explores language-related functional changes in older NCD adults using LLM-based...",,q-bio.NC; cs.CL,https://arxiv.org/abs/2407.10376v1
6,arXiv,2404.14024v2,Exploring neural oscillations during speech perception via surrogate   gradient spiking neural networks,"Alexandre Bittar, Philip N. Garner",2024,"arXiv: cs.CL, q-bio.NC","Understanding cognitive processes in the brain demands sophisticated models capable of replicating neural dynamics at large scales. We present a physiologically inspired speech recognition architecture, compatible and scalable with deep learning frameworks, and demonstrate that end-to-end gradient descent training leads to the emergence of neural oscillations in the central spiking neural network. Significant cross-frequency couplings, indicative of these oscillations, are measured within and ac...",10.3389/fnins.2024.1449181,cs.CL; q-bio.NC,https://arxiv.org/abs/2404.14024v2
7,arXiv,2311.04742v3,Large-scale study of human memory for meaningful narratives,"Antonios Georgiou, Tankut Can, Mikhail Katkov et al.",2023,"arXiv: cs.CL, q-bio.NC","The statistical study of human memory requires large-scale experiments, involving many stimuli conditions and test subjects. While this approach has proven to be quite fruitful for meaningless material such as random lists of words, naturalistic stimuli, like narratives, have until now resisted such a large-scale study, due to the quantity of manual labor required to design and analyze such experiments. In this work, we develop a pipeline that uses large language models (LLMs) both to design nat...",,cs.CL; q-bio.NC,https://arxiv.org/abs/2311.04742v3
8,arXiv,2508.14869v1,The Prompting Brain: Neurocognitive Markers of Expertise in Guiding   Large Language Models,"Hend Al-Khalifa, Raneem Almansour, Layan Abdulrahman Alhuasini et al.",2025,"arXiv: q-bio.NC, cs.CL","Prompt engineering has rapidly emerged as a critical skill for effective interaction with large language models (LLMs). However, the cognitive and neural underpinnings of this expertise remain largely unexplored. This paper presents findings from a cross-sectional pilot fMRI study investigating differences in brain functional connectivity and network activity between experts and intermediate prompt engineers. Our results reveal distinct neural signatures associated with higher prompt engineering...",,q-bio.NC; cs.CL,https://arxiv.org/abs/2508.14869v1
9,arXiv,2503.19586v2,Distinct social-linguistic processing between humans and large   audio-language models: Evidence from model-brain alignment,"Hanlin Wu, Xufeng Duan, Zhenguang Cai",2025,"arXiv: cs.CL, q-bio.NC","Voice-based AI development faces unique challenges in processing both linguistic and paralinguistic information. This study compares how large audio-language models (LALMs) and humans integrate speaker characteristics during speech comprehension, asking whether LALMs process speaker-contextualized language in ways that parallel human cognitive mechanisms. We compared two LALMs' (Qwen2-Audio and Ultravox 0.5) processing patterns with human EEG responses. Using surprisal and entropy metrics from t...",10.18653/v1/2025.cmcl-1.18,cs.CL; q-bio.NC,https://arxiv.org/abs/2503.19586v2
10,arXiv,2505.22563v1,Do Large Language Models Think Like the Brain? Sentence-Level Evidence   from fMRI and Hierarchical Embeddings,"Yu Lei, Xingyang Ge, Yi Zhang et al.",2025,"arXiv: cs.CL, q-bio.NC","Understanding whether large language models (LLMs) and the human brain converge on similar computational principles remains a fundamental and important question in cognitive neuroscience and AI. Do the brain-like patterns observed in LLMs emerge simply from scaling, or do they reflect deeper alignment with the architecture of human language processing? This study focuses on the sentence-level neural mechanisms of language models, systematically investigating how hierarchical representations in L...",,cs.CL; q-bio.NC,https://arxiv.org/abs/2505.22563v1
